//Data Set,Label,Longitude,Latitude,Level,Country,Province,City,District,Township,Neighborhood,Confirmed,Suspected,Healed,Dead,Increased Confirmed,Increased Suspected,Increased Healed,Increased Dead,Comments,Time
"New Coronavirus Pneumonia",,108.651815,19.095351,"City","China","Hainan Province","东方",,,,3,0,2,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.690508,19.912026,"City","China","Hainan Province","临高县",,,,6,0,6,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.173055,18.75026,"City","China","Hainan Province","乐东",,,,2,0,2,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.702392,18.638189,"City","China","Hainan Province","保亭",,,,3,0,1,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.580811,19.521134,"City","China","Hainan Province","儋州",,,,15,0,12,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.358891,19.681434,"City","China","Hainan Province","定安县",,,,3,0,2,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.856655,19.493407,"City","China","Hainan Province","文昌",,,,3,0,3,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.055724,19.298062,"City","China","Hainan Province","昌江县",,,,7,0,3,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.198293,20.044001,"City","China","Hainan Province","海口",,,,39,0,31,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.006755,19.738521,"City","China","Hainan Province","澄迈县",,,,9,0,6,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.838389,19.033369,"City","China","Hainan Province","琼中县",,,,1,0,1,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.474648,19.258341,"City","China","Hainan Province","琼海",,,,6,0,4,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.037504,18.506048,"City","China","Hainan Province","陵水县",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.349228,20.017377,"Province","China","Hainan Province",,,,,168,0,132,5,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,115.464806,38.873891,"City","China","Hebei Province","保定",,,,32,0,32,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,118.180193,39.630867,"City","China","Hebei Province","唐山",,,,58,0,40,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.683752,39.538047,"City","China","Hebei Province","廊坊",,,,30,0,30,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,114.887543,40.824418,"City","China","Hebei Province","张家口",,,,41,0,33,0,1,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,117.96241,40.954071,"City","China","Hebei Province","承德",,,,7,0,7,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.838834,38.304477,"City","China","Hebei Province","沧州",,,,48,0,41,3,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,114.51486,38.042307,"City","China","Hebei Province","石家庄",,,,29,0,24,0,0,0,0,0,,"2020-02-28 18:38:00"
