# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
級,1435,0.000002955143098304892,0.9980291996227414
钳,1434,0.000002953083765135342,0.9980321527065066
洱,1434,0.000002953083765135342,0.9980351057902718
伶,1434,0.000002953083765135342,0.998038058874037
骷,1434,0.000002953083765135342,0.9980410119578021
鹦,1434,0.000002953083765135342,0.9980439650415673
怦,1431,0.0000029469057656266906,0.998046911947333
缆,1426,0.0000029366090997789383,0.9980498485564328
沽,1422,0.0000029283717671007363,0.9980527769281998
娴,1422,0.0000029283717671007363,0.9980557052999669
猖,1414,0.0000029118971017443327,0.9980586171970687
宦,1413,0.0000029098377685747824,0.9980615270348373
媛,1410,0.000002903659769066131,0.9980644306946064
萤,1409,0.000002901600435896581,0.9980673322950423
喳,1408,0.00000289954110272703,0.9980702318361451
芈,1405,0.000002893363103218379,0.9980731251992483
腱,1405,0.000002893363103218379,0.9980760185623515
尉,1401,0.0000028851257705401773,0.998078903688122
瓢,1397,0.0000028768884378619753,0.9980817805765598
弩,1396,0.000002874829104692425,0.9980846554056645
峨,1396,0.000002874829104692425,0.9980875302347691
鞍,1392,0.000002866591772014223,0.9980903968265412
宕,1388,0.0000028583544393360214,0.9980932551809806
绛,1387,0.0000028562951061664707,0.9980961114760868
瞥,1387,0.0000028562951061664707,0.998098967771193
眩,1386,0.0000028542357729969204,0.998101822006966
邂,1385,0.00000285217643982737,0.9981046741834058
嫡,1384,0.0000028501171066578194,0.9981075243005124
婿,1382,0.000002845998440318719,0.9981103702989528
曦,1381,0.000002843939107149168,0.9981132142380599
藉,1380,0.000002841879773979618,0.9981160561178338
弛,1379,0.000002839820440810067,0.9981188959382746
铂,1378,0.000002837761107640517,0.9981217336993823
汲,1378,0.000002837761107640517,0.9981245714604899
氟,1377,0.0000028357017744709665,0.9981274071622644
兀,1377,0.0000028357017744709665,0.998130242864039
佟,1376,0.000002833642441301416,0.9981330765064802
痤,1376,0.000002833642441301416,0.9981359101489214
陛,1375,0.0000028315831081318655,0.9981387417320295
忑,1375,0.0000028315831081318655,0.9981415733151376
慵,1375,0.0000028315831081318655,0.9981444048982457
霹,1375,0.0000028315831081318655,0.9981472364813538
粟,1370,0.000002821286442284113,0.9981500577677961
缥,1369,0.000002819227109114563,0.9981528769949052
瘩,1369,0.000002819227109114563,0.9981556962220143
辕,1369,0.000002819227109114563,0.9981585154491234
琵,1368,0.000002817167775945012,0.9981613326168993
嗔,1365,0.000002810989776436361,0.9981641436066757
钛,1363,0.00000280687111009726,0.9981669504777858
湃,1358,0.000002796574444249508,0.99816974705223
槟,1357,0.0000027945151110799573,0.9981725415673411
髦,1357,0.0000027945151110799573,0.9981753360824522
睦,1356,0.000002792455777910407,0.9981781285382302
俨,1354,0.000002788337111571306,0.9981809168753417
莺,1350,0.0000027800997788931045,0.9981836969751207
酝,1348,0.0000027759811125540035,0.9981864729562332
烁,1347,0.0000027739217793844527,0.9981892468780126
拴,1343,0.000002765684446706251,0.9981920125624593
拈,1343,0.000002765684446706251,0.998194778246906
倭,1342,0.000002763625113536701,0.9981975418720195
琶,1341,0.00000276156578036715,0.9982003034377999
珀,1341,0.00000276156578036715,0.9982030650035802
鱿,1340,0.0000027595064471976,0.9982058245100275
咦,1337,0.0000027533284476889486,0.9982085778384752
铠,1337,0.0000027533284476889486,0.9982113311669228
谤,1336,0.000002751269114519398,0.9982140824360374
穹,1334,0.0000027471504481802973,0.9982168295864856
诽,1334,0.0000027471504481802973,0.9982195767369338
